"intersect_bp","f_orig_query","f_found_genome","name"
145000,0.0108524811017139,0.000158745798710327,"LVWM01000001.1 Aureobasidium pullulans isolate Santander contig_1, whole genome shotgun sequence"
68000,0.00133650753873784,7.44463056020845e-05,"MSDY01000045.1 Aureobasidium sp. FSWF8-4 FSW8-bin-4-scaffold_100, whole genome shotgun sequence"
32000,0.00149957155098543,3.50335555774515e-05,"LZZZ01000001.1 Ustilago cynodontis strain NBRC 9727 NODE_1, whole genome shotgun sequence"
27000,0.0016510033020066,2.95595625184747e-05,"CAGI01000713.1 Ustilago hordei Uh4857-4 WGS project CAGI00000000 data, contig UHOR_scaffold_4.01268, whole genome shotgun sequence"
14000,0.000377702936640332,1.5327180565135e-05,"AFRD01000864.1 Periglandula ipomoeae IasaF13 contig27004, whole genome shotgun sequence"
7000,5.92434610029918e-05,7.66359028256752e-06,"AZRP01000001.1 Puccinia triticina Race 106 contig00001, whole genome shotgun sequence"
3000,3.92472379756275e-05,3.28439583538608e-06,"KQ503367.1 Puccinia psidii isolate Aus_3 unplaced genomic scaffold scaffold_1, whole genome shotgun sequence"
2000,4.29525588986964e-05,2.18959722359072e-06,"CVRD01000001.1 Clavaria fumosa genome assembly Cla_fum_l100.fa, contig 40, whole genome shotgun sequence"
5000,0.000126079556199962,5.4739930589768e-06,"FMVU01002546.1 Ustilago bromivora strain UB2 genome assembly, contig: C10459, whole genome shotgun sequence"
1000,3.22549430700255e-05,1.09479861179536e-06,"JNHX01000001.1 Amanita muscaria var. guessowii Koide BX008 seq1, whole genome shotgun sequence"
2000,0.000129819550824354,2.18959722359072e-06,"CM001110.1 Saccharomyces cerevisiae FostersB chromosome I, whole genome shotgun sequence"
1000,0.00011015642211941,1.09479861179536e-06,"JNEG01000001.1 Cunninghamella bertholletiae 175 ctg7180000053040_1, whole genome shotgun sequence"
1000,0.000119904076738609,1.09479861179536e-06,"KV453841.1 Tortispora caseinolytica NRRL Y-17796 unplaced genomic scaffold CANCAscaffold_1, whole genome shotgun sequence"
2000,0.000138638569249965,2.18959722359072e-06,"ABPC01006145.1 Saccharomyces cerevisiae M22 Contig3380, whole genome shotgun sequence"
1000,3.92958189248664e-05,1.09479861179536e-06,"AEIW01000001.1 Cordyceps cicadae BA-001 contig00001, whole genome shotgun sequence"
1000,3.40437121263703e-05,1.09479861179536e-06,"NW_017306190.1 Alternaria alternata strain SRC1lrK2f unplaced genomic scaffold CC77scaffold_1, whole genome shotgun sequence"
3000,2.5693730729702e-05,3.28439583538608e-06,"JEMT01000001.1 Rhizophagus irregularis DAOM 197198w jcf7180003165201, whole genome shotgun sequence"
1000,0.000118934348239772,1.09479861179536e-06,"AABY01000832.1 Saccharomyces paradoxus NRRL Y-17217 contig_531, whole genome shotgun sequence"
1000,1.47488274682163e-05,1.09479861179536e-06,"ADAS02000001.1 Puccinia triticina 1-1 BBBD Race 1 supercont2.1, whole genome shotgun sequence"
1000,4.7705371624845e-05,1.09479861179536e-06,"DS268403.1 Coccidioides immitis RMSCC 3703 supercont1.286 genomic scaffold, whole genome shotgun sequence"
1000,0.000163425396306586,1.09479861179536e-06,"LMTL01000100.1 Candida sojae strain GF41 100_contig, whole genome shotgun sequence"
1000,4.14834481042064e-05,1.09479861179536e-06,"KE148146.1 Ophiostoma piceae UAMH 11346 chromosome Unknown scf01, whole genome shotgun sequence"
3000,4.01896953621092e-05,3.28439583538608e-06,"KQ435302.1 Mucor circinelloides strain WJ11 unplaced genomic scaffold scaffold00001, whole genome shotgun sequence"
2000,3.75107843505008e-05,2.18959722359072e-06,"KN715891.1 Penicillium chrysogenum KF-25 unplaced genomic scaffold scaffold1, whole genome shotgun sequence"
1000,1.98432384165096e-05,1.09479861179536e-06,"MKXH02000317.1 Puccinia striiformis f. sp. tritici strain 38S102 Scaffold_1, whole genome shotgun sequence"
1000,1.407340689034e-05,1.09479861179536e-06,"KN360965.1 Uromyces viciae-fabae strain I2 unplaced genomic scaffold scaffold_1, whole genome shotgun sequence"
3000,1.58305497949944e-05,3.28439583538608e-06,"LADD01000001.1 Puccinia triticina Race 77 isolate 77-9 contig00001, whole genome shotgun sequence"
42000,6.69732553466982e-05,4.59815416954051e-05,"Absidia repens NRRL 1336 v1.0"
5000,0.000103385887826312,5.4739930589768e-06,"Acaromyces ingoldii MCA 4198 v1.0"
15000,7.37604555445734e-05,1.64219791769304e-05,"Acephala macrosclerotiorum EW76-UTF0540 v1.0"
5000,3.20841889117043e-05,5.4739930589768e-06,"Amanita thiersii Skay4041 v1.0"
2000,3.71319297463889e-05,2.18959722359072e-06,"Amorphotheca resinae v1.0"
166000,0.000809834631768193,0.00018173656955803,"Anaeromyces robustus v1.0"
1000,1.40040331615505e-05,1.09479861179536e-06,"Armillaria gallica 21-2 v1.0"
4000,3.68609237347488e-05,4.37919444718144e-06,"Ascodesmis nigricans CBS 389.68 v1.0"
11000,2.72264423207819e-05,1.2042784729749e-05,"Aspergillus brunneoviolaceus CBS 621.78 v1.0"
15000,2.55918106206014e-05,1.64219791769304e-05,"Aspergillus ellipticus CBS 707.79 v1.0"
9000,5.54078014184397e-05,9.85318750615824e-06,"Aspergillus fijiensis CBS 313.89 v1.0"
10000,8.11929957508999e-05,1.09479861179536e-05,"Aspergillus luchuensis CBS 106.47 v1.0"
7000,7.06164818868724e-05,7.66359028256752e-06,"Aspergillus fumigatus A1163"
15000,7.30193501277839e-05,1.64219791769304e-05,"Aspergillus glaucus v1.0"
18000,0.000147981531904818,1.97063750123165e-05,"Aspergillus heteromorphus CBS 117.55 v1.0"
9000,3.02196971986341e-05,9.85318750615824e-06,"Aspergillus ibericus CBS 121593 v1.0"
17000,0.000159855064741301,1.86115764005211e-05,"Aspergillus indologenus CBS 114.80 v1.0"
6000,5.62034565125755e-05,6.56879167077216e-06,"Aspergillus phoenicis (Corda) Thom ATCC 13157 v1.0"
12000,2.78543773153951e-05,1.31375833415443e-05,"Aspergillus violaceofuscus CBS 115571 v1.0"
66000,0.000610832089045745,7.22567083784938e-05,"Aureobasidium pullulans var. pullulans EXF-150"
4000,3.90518217674855e-05,4.37919444718144e-06,"Aureobasidium pullulans var. subglaciale EXF-2481"
4000,3.01168533911577e-05,4.37919444718144e-06,"Basidiobolus meristosporus CBS 931.73 v1.0"
6000,1.58891572391e-05,6.56879167077216e-06,"Bimuria novae-zelandiae CBS 107.79 v1.0"
16000,7.35276096174113e-05,1.75167777887258e-05,"Biscogniauxia nummularia v1.0"
27000,4.10500605488393e-05,2.95595625184747e-05,"Blastomyces dermatitidis SLH14081"
9000,3.1765696224647e-05,9.85318750615824e-06,"Blumeria graminis f.sp. hordei DH14"
9000,5.2949274594938e-05,9.85318750615824e-06,"Botrytis cinerea v1.0"
8000,3.91496691852954e-05,8.75838889436288e-06,"Bulgaria inquinans CBS118.31 v1.0"
37000,0.000447539928953036,4.05075486364283e-05,"Caloscypha fulgens ATCC 42695 v1.0"
10000,7.65638159405865e-05,1.09479861179536e-05,"Candida arabinofermentans NRRL YB-2248 v1.0"
24000,4.97547092832337e-05,2.62751666830886e-05,"Choiromyces venosus 120613-1 v1.0"
26000,4.28027222531353e-05,2.84647639066794e-05,"Circinella umbellata NRRL1351 v1.0"
38000,0.000229996677825765,4.16023472482237e-05,"Cladorrhinum bulbillosum DJ3 v1.0"
3000,6.91276095672612e-05,3.28439583538608e-06,"Cladophialophora carrionii CBS 160.54"
3000,2.16759873412234e-05,3.28439583538608e-06,"Clohesyomyces aquaticus v1.0"
5000,8.98741761533853e-05,5.4739930589768e-06,"Cochliobolus heterostrophus C5 v2.0"
17000,3.62226971420292e-05,1.86115764005211e-05,"Coccidioides immitis RS"
