/mnt/work/nucmer_AurPul/Oe6.scaffolds.fa /mnt/work/nucmer_AurPul/GCA_001678115.1_ASM167811v1_genomic.fna
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
1718	8984	7267	1	7267	7267	100.00	482190	7267	1.51	100.00	Oe6_s00135	LVWM01000608.1
1844	6828	2215	7102	4985	4888	83.58	482190	34889	1.03	14.01	Oe6_s00135	LVWM01000152.1
1844	5792	6127	9982	3949	3856	83.27	482190	18256	0.82	21.12	Oe6_s00135	LVWM01000356.1
1844	3204	760	2107	1361	1348	85.61	482190	3628	0.28	37.16	Oe6_s00135	LVWM01000812.1
6140	6828	10324	11014	689	691	86.11	482190	18256	0.14	3.79	Oe6_s00135	LVWM01000356.1
6953	8711	2023	269	1759	1755	85.28	482190	2090	0.36	83.97	Oe6_s00135	LVWM01000986.1
7022	8849	1960	115	1828	1846	86.26	482190	2129	0.38	86.71	Oe6_s00135	LVWM01000978.1
9225	12619	1	3395	3395	3395	100.00	482190	3395	0.70	100.00	Oe6_s00135	LVWM01000830.1
19708	22301	1	2594	2594	2594	100.00	482190	2594	0.54	100.00	Oe6_s00135	LVWM01000905.1
20763	21717	135	1089	955	955	93.61	482190	1688	0.20	56.58	Oe6_s00135	LVWM01001059.1
24755	26900	2146	1	2146	2146	100.00	482190	2146	0.45	100.00	Oe6_s00135	LVWM01000976.1
28314	29421	1108	1	1108	1108	100.00	482190	1108	0.23	100.00	Oe6_s00135	LVWM01001255.1
50682	53743	3062	1	3062	3062	100.00	482190	3568	0.64	85.82	Oe6_s00135	LVWM01000815.1
83131	84236	1	1106	1106	1106	99.73	195441	1109	0.57	99.73	Oe6_s00381	LVWM01001252.1
88448	89556	1	1109	1109	1109	98.92	195441	1109	0.57	100.00	Oe6_s00381	LVWM01001252.1
1	1247	3880	5126	1247	1247	99.44	14820	5134	8.41	24.29	Oe6_s00957	LVWM01000701.1
1147	10642	1	9496	9496	9496	100.00	14820	9496	64.08	100.00	Oe6_s00957	LVWM01000542.1
5291	7206	1	1914	1916	1914	97.44	14820	1914	12.93	100.00	Oe6_s00957	LVWM01001011.1
7080	8250	1	1171	1171	1171	98.63	14820	1171	7.90	100.00	Oe6_s00957	LVWM01001218.1
8302	10548	3653	1410	2247	2244	93.52	14820	3653	15.16	61.43	Oe6_s00957	LVWM01000809.1
10738	11852	1117	1	1115	1117	97.67	14820	3653	7.52	30.58	Oe6_s00957	LVWM01000809.1
11174	14820	1	3647	3647	3647	100.00	14820	12203	24.61	29.89	Oe6_s00957	LVWM01000465.1
