/mnt/work/nucmer_AurPul/Oe6.scaffolds.fa /mnt/work/nucmer_AurPul/GCA_000721785.1_Aureobasidium_pullulans_var._pullulans_EXF-150_assembly_version_1.0_genomic.fna
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
400935	403099	10767	8603	2165	2165	100.00	694276	350255	0.31	0.62	Oe6_s00066	KL584998.1
422397	424535	2351	4489	2139	2139	100.00	486379	8576	0.44	24.94	Oe6_s00132	KL585040.1
1844	5649	5103	1334	3806	3770	84.91	482190	2687588	0.79	0.14	Oe6_s00135	KL584974.1
1844	3528	2036	365	1685	1672	87.49	482190	385058	0.35	0.43	Oe6_s00135	KL584995.1
1844	6144	45979	41715	4301	4265	86.55	482190	350255	0.89	1.22	Oe6_s00135	KL584998.1
1844	2410	570	4	567	567	88.20	482190	120898	0.12	0.47	Oe6_s00135	KL585015.1
1844	3583	19532	21244	1740	1713	86.90	482190	86696	0.36	1.98	Oe6_s00135	KL585020.1
1846	3583	69801	71513	1738	1713	86.72	482190	278606	0.36	0.61	Oe6_s00135	KL585005.1
2031	4516	1221424	1218969	2486	2456	87.13	482190	1266703	0.52	0.19	Oe6_s00135	KL584980.1
2174	3528	1	1342	1355	1342	86.95	482190	1551	0.28	86.52	Oe6_s00135	KL585108.1
2412	3528	1186	83	1117	1104	85.41	482190	1188	0.23	92.93	Oe6_s00135	KL585146.1
2444	3528	1	1072	1085	1072	86.08	482190	1188	0.23	90.24	Oe6_s00135	KL585147.1
4099	6144	21490	23530	2046	2041	82.29	482190	86696	0.42	2.35	Oe6_s00135	KL585020.1
4106	5627	407950	406425	1522	1526	82.95	482190	410013	0.32	0.37	Oe6_s00135	KL584994.1
4264	6144	585308	583433	1881	1876	81.34	482190	839173	0.39	0.22	Oe6_s00135	KL584985.1
4313	4920	18	623	608	606	81.67	482190	48344	0.13	1.25	Oe6_s00135	KL585026.1
4428	6828	1937628	1940006	2401	2379	84.49	482190	2687588	0.50	0.09	Oe6_s00135	KL584974.1
4961	5792	72823	73654	832	832	84.50	482190	278606	0.17	0.30	Oe6_s00135	KL585005.1
4961	6037	505	1599	1077	1095	81.37	482190	1614	0.22	67.84	Oe6_s00135	KL585101.1
6140	6828	73996	74686	689	691	86.25	482190	278606	0.14	0.25	Oe6_s00135	KL585005.1
9596	12183	417693	415053	2588	2641	90.10	482190	1266703	0.54	0.21	Oe6_s00135	KL584980.1
20766	21425	575630	576288	660	659	92.12	482190	1166847	0.14	0.06	Oe6_s00135	KL584983.1
21429	21963	576487	577021	535	535	90.65	482190	1166847	0.11	0.05	Oe6_s00135	KL584983.1
28399	29317	577023	577960	919	938	87.33	482190	1166847	0.19	0.08	Oe6_s00135	KL584983.1
276245	277064	1457	2276	820	820	100.00	357087	334468	0.23	0.25	Oe6_s00207	KL585000.1
1	10548	368228	357686	10548	10543	98.21	14820	1166847	71.17	0.90	Oe6_s00957	KL584983.1
10736	14820	357391	353294	4085	4098	96.01	14820	1166847	27.56	0.35	Oe6_s00957	KL584983.1
1	5329	419672	425000	5329	5329	98.13	5508	1216709	96.75	0.44	Oe6_s01156	KL584981.1
1	3208	368752	371960	3208	3209	98.35	4365	1166847	73.49	0.28	Oe6_s01218	KL584983.1
1	3343	57978	61307	3343	3330	97.28	3343	101594	100.00	3.28	Oe6_s01299	KL585017.1
1	1131	601661	600531	1131	1131	96.29	1131	2687588	100.00	0.04	Oe6_s01603	KL584974.1
1	1125	102446	103566	1125	1121	98.84	1125	410013	100.00	0.27	Oe6_s01606	KL584994.1
1	797	31303	30507	797	797	94.48	1011	101594	78.83	0.78	Oe6_s01644	KL585017.1
1	841	47681	46841	841	841	97.50	841	101594	100.00	0.83	Oe6_s01722	KL585017.1
1	772	473581	474352	772	772	99.09	772	1266703	100.00	0.06	Oe6_s01757	KL584980.1
1	700	1135383	1136121	700	739	87.90	702	1166847	99.72	0.06	Oe6_s01796	KL584983.1
1	597	489119	488537	597	583	94.97	597	1266703	100.00	0.05	Oe6_s01852	KL584980.1
39623	40886	836345	837608	1264	1264	100.00	637555	1193979	0.20	0.11	Oe6_s02001	KL584982.1
74458	75064	1343915	1343309	607	607	100.00	485413	1900854	0.13	0.03	Oe6_s02054	KL584976.1
212323	216072	973	4722	3750	3750	99.97	320931	1166847	1.17	0.32	Oe6_s02157	KL584983.1
69569	70215	773505	772859	647	647	100.00	305705	1193979	0.21	0.05	Oe6_s02173	KL584982.1
16902	17687	357983	358768	786	786	100.00	96372	440480	0.82	0.18	Oe6_s02483	KL584992.1
13895	16444	39907	42456	2550	2550	100.00	66427	44162	3.84	5.77	Oe6_s02566	KL585029.1
24408	25509	999	2100	1102	1102	100.00	28925	47067	3.81	2.34	Oe6_s02774	KL585027.1
2	3249	470145	473401	3248	3257	96.18	3249	1266703	99.97	0.26	Oe6_s03228	KL584980.1
1	2239	90833	93072	2239	2240	93.00	3234	2117705	69.23	0.11	Oe6_s03230	KL584975.1
1	1855	210306	208453	1855	1854	96.01	1878	350255	98.78	0.53	Oe6_s03376	KL584998.1
1	1486	406635	408120	1486	1486	99.60	1486	1216709	100.00	0.12	Oe6_s03435	KL584981.1
1	1017	41061	42062	1017	1002	90.00	1017	1900854	100.00	0.05	Oe6_s03563	KL584976.1
500	1005	315862	315350	506	513	92.20	1005	440480	50.35	0.12	Oe6_s03567	KL584992.1
1	974	2098300	2099273	974	974	97.33	981	2687588	99.29	0.04	Oe6_s03584	KL584974.1
1	945	454977	455921	945	945	97.25	945	546779	100.00	0.17	Oe6_s03596	KL584989.1
1	928	36934	37860	928	927	99.46	928	101594	100.00	0.91	Oe6_s03605	KL585017.1
1	836	480718	481558	836	841	95.87	836	1266703	100.00	0.07	Oe6_s03646	KL584980.1
1	800	94899	95698	800	800	87.25	802	183854	99.75	0.44	Oe6_s03663	KL585011.1
1	653	59456	60107	653	652	94.18	653	410013	100.00	0.16	Oe6_s03739	KL584994.1
1	611	451683	451073	611	611	99.18	611	546779	100.00	0.11	Oe6_s03764	KL584989.1
1	556	603415	602860	556	556	97.84	556	2687588	100.00	0.02	Oe6_s03799	KL584974.1
538311	539504	2343	3536	1194	1194	100.00	630610	8576	0.19	13.92	Oe6_s03923	KL585040.1
470125	472613	777272	774784	2489	2489	100.00	549315	1193979	0.45	0.21	Oe6_s03949	KL584982.1
413254	414074	2284	1464	821	821	100.00	513624	334468	0.16	0.25	Oe6_s03962	KL585000.1
212257	213571	836346	837660	1315	1315	100.00	255488	1193979	0.51	0.11	Oe6_s04144	KL584982.1
19219	21118	8596	10495	1900	1900	100.00	253685	350255	0.75	0.54	Oe6_s04147	KL584998.1
90702	91398	1025127	1025823	697	697	100.00	204271	1390977	0.34	0.05	Oe6_s04211	KL584978.1
25406	27060	4127	5781	1655	1655	100.00	67340	10182	2.46	16.25	Oe6_s04485	KL585036.1
1	5748	853360	859071	5748	5712	93.67	5750	1458909	99.97	0.39	Oe6_s04984	KL584977.1
1	2274	406577	404303	2274	2275	98.68	2274	1216709	100.00	0.19	Oe6_s05234	KL584981.1
52	2000	44243	46191	1949	1949	99.59	2000	101594	97.45	1.92	Oe6_s05275	KL585017.1
1	1586	49908	51493	1586	1586	99.37	1586	101594	100.00	1.56	Oe6_s05341	KL585017.1
1	1410	1131894	1133295	1410	1402	98.51	1410	1166847	100.00	0.12	Oe6_s05371	KL584983.1
1	1351	39323	37976	1351	1348	98.96	1351	101594	100.00	1.33	Oe6_s05383	KL585017.1
1	984	79864	78877	984	988	97.06	984	2117705	100.00	0.05	Oe6_s05504	KL584975.1
1	964	605857	604875	964	983	95.42	964	2687588	100.00	0.04	Oe6_s05511	KL584974.1
1	649	299196	299838	649	643	98.61	649	2687588	100.00	0.02	Oe6_s05662	KL584974.1
1	630	78821	78192	630	630	96.51	646	2117705	97.52	0.03	Oe6_s05664	KL584975.1
335586	336503	3671	2754	918	918	100.00	1282910	29073	0.07	3.16	Oe6_s05772	KL585033.1
296386	297392	1345768	1344762	1007	1007	100.00	756235	1900854	0.13	0.05	Oe6_s05816	KL584976.1
90304	90898	232884	232290	595	595	100.00	710742	297689	0.08	0.20	Oe6_s05826	KL585002.1
261881	262563	1158821	1159503	683	683	99.56	593201	1193979	0.12	0.06	Oe6_s05853	KL584982.1
248715	249859	41045	39901	1145	1145	100.00	332456	44162	0.34	2.59	Oe6_s05992	KL585029.1
178011	178604	232875	232282	594	594	100.00	302536	297689	0.20	0.20	Oe6_s06016	KL585002.1
180730	181653	42461	41538	924	924	100.00	264370	44162	0.35	2.09	Oe6_s06058	KL585029.1
8073	8975	500719	499817	903	903	79.38	33868	541941	2.67	0.17	Oe6_s06580	KL584990.1
6398	9017	582929	580310	2620	2620	100.00	18873	839173	13.88	0.31	Oe6_s06683	KL584985.1
2693	4537	32295	30455	1845	1841	94.27	15962	350255	11.56	0.53	Oe6_s06709	KL584998.1
4773	6537	30386	28620	1765	1767	94.74	15962	350255	11.06	0.50	Oe6_s06709	KL584998.1
2885	4669	590	2374	1785	1785	80.78	4669	2885	38.23	61.87	Oe6_s06962	KL585058.1
1	3537	2113381	2109845	3537	3537	89.28	3537	2117705	100.00	0.17	Oe6_s07049	KL584975.1
1	3537	994281	997817	3537	3537	88.83	3537	1266703	100.00	0.28	Oe6_s07049	KL584980.1
1	2008	314892	316899	2008	2008	89.09	3537	612204	56.77	0.33	Oe6_s07049	KL584988.1
1	3537	208157	211690	3537	3534	92.20	3537	546779	100.00	0.65	Oe6_s07049	KL584989.1
1	2008	410462	412469	2008	2008	90.39	3537	412469	56.77	0.49	Oe6_s07049	KL584993.1
1	3537	97428	100964	3537	3537	87.59	3537	101594	100.00	3.48	Oe6_s07049	KL585017.1
1	546	1660	2205	546	546	87.55	3537	5444	15.44	10.03	Oe6_s07049	KL585045.1
84	1442	1	1359	1359	1359	89.33	3537	1362	38.42	99.78	Oe6_s07049	KL585124.1
542	2290	1749	1	1749	1749	91.14	3537	1749	49.45	100.00	Oe6_s07049	KL585093.1
1974	3537	2141332	2142895	1564	1564	92.65	3537	2687588	44.22	0.06	Oe6_s07049	KL584974.1
1	2456	1794574	1797029	2456	2456	99.80	2456	1900854	100.00	0.13	Oe6_s07137	KL584976.1
1	1750	811542	809793	1750	1750	93.87	1750	2117705	100.00	0.08	Oe6_s07236	KL584975.1
310	1551	349300	350539	1242	1240	94.36	1551	2687588	80.08	0.05	Oe6_s07268	KL584974.1
819	1356	613126	612588	538	539	90.39	1363	839173	39.47	0.06	Oe6_s07302	KL584985.1
1	1331	185349	186680	1331	1332	96.92	1332	1266703	99.92	0.11	Oe6_s07311	KL584980.1
1	998	69889	68892	998	998	97.09	998	2687588	100.00	0.04	Oe6_s07419	KL584974.1
49816	52245	3664	1235	2430	2430	100.00	935412	29073	0.26	8.36	Oe6_s07714	KL585033.1
301005	302095	3850	2760	1091	1091	99.91	305419	41489	0.36	2.63	Oe6_s07937	KL585030.1
134936	137424	777279	774791	2489	2489	100.00	230655	1193979	1.08	0.21	Oe6_s08018	KL584982.1
118511	121216	585305	588010	2706	2706	100.00	218996	839173	1.24	0.32	Oe6_s08035	KL584985.1
205387	205951	1076875	1076323	565	553	86.90	215045	1390977	0.26	0.04	Oe6_s08038	KL584978.1
149268	154336	163907	168962	5069	5056	97.34	154336	297689	3.28	1.70	Oe6_s08070	KL585002.1
1	6029	90716	84695	6029	6022	96.70	6029	2117705	100.00	0.28	Oe6_s08815	KL584975.1
1	5164	418574	413407	5164	5168	94.37	5871	1216709	87.96	0.42	Oe6_s08822	KL584981.1
5240	5869	413349	412722	630	628	94.78	5871	1216709	10.73	0.05	Oe6_s08822	KL584981.1
1	1912	1136281	1138189	1912	1909	97.70	2488	1166847	76.85	0.16	Oe6_s09056	KL584983.1
1	1717	428597	426881	1717	1717	98.72	1717	1216709	100.00	0.14	Oe6_s09163	KL584981.1
1	1012	48935	49945	1012	1011	98.72	1012	101594	100.00	1.00	Oe6_s09328	KL585017.1
1	754	107088	107841	754	754	98.67	754	183854	100.00	0.41	Oe6_s09451	KL585011.1
1258549	1260326	1343990	1345767	1778	1778	100.00	2089551	1900854	0.09	0.09	Oe6_s09608	KL584976.1
